Image,Name,Description,Detail,Obtained,Level
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Master Alchemist,All trophies obtained.,,,platinum
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,"A Cat, A Boy, and Alchemy",Complete Chapter 1.,,07/16/2020 01:16,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Finals and the New Kid,Complete Chapter 2.,,07/16/2020 12:50,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Summer Break and Ghost Stories,Complete Chapter 3.,,07/16/2020 19:00,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,"Flay, Roxis, and a Battle Arena",Complete Chapter 4.,,07/17/2020 02:02,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,New Friends and a Father,Complete Chapter 5.,,07/18/2020 00:35,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Research and UFO Encounters,Complete Chapter 6.,,07/18/2020 17:57,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,School Festival and a Trivia Contest?,Complete Chapter 7.,,07/18/2020 21:27,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,A Sick Cat and Mana Medicine,Complete Chapter 8.,,07/19/2020 12:27,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Your Future and the History of Alchemy,Complete Chapter 9.,,07/19/2020 16:14,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,"A Dying Cat, Helpless Me, and…",Complete Chapter 10.,,07/20/2020 02:19,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Isolde’s Decision and Students’ Confusion,Complete Chapter 11.,,07/20/2020 23:44,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Past Memories and Desired Future,Complete Chapter 12.,,07/22/2020 18:14,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,"Friends, huh?",Complete every nonfinale character quest episode in a single playthrough.,,07/20/2020 18:15,silver
imgs/vayne.png,"With this space, I wish to…",Enact your final wish.,,07/22/2020 18:12,silver
imgs/philo.png,Was it… a joke?,Learn about Philo’s mysterious illness.,Complete Philo III.,07/17/2020 01:13,bronze
imgs/philo.png,It won’t mean anything if you just fix it now!,Let Philo convince you not to disappear.,,,silver
imgs/nikki.png,Hey!,Learn how Nikki attracts all the guys.,Listen to Nikki’s song in the Workshop Hallway after completing Nikki II.,07/18/2020 14:49,bronze
imgs/nikki.png,It won’t mean anything if you just fix it now!,Let Nikki convince you not to disappear.,,,silver
imgs/pamela.png,"A single tear, rolling down your cheek…",Protect Pamela from “Super Anna”.,Complete Pamela III.,07/18/2020 15:40,bronze
imgs/pamela.png,...Fake crying again?,Let Pamela convince you not to disappear.,,,silver
imgs/flay.png,"So, you figured out who I am…",Learn the identity of the Defender of Justice.,Complete Flay II.,07/17/2020 01:13,bronze
imgs/flay.png,Every great hero holds some darkness within.,Let Flay convince you not to disappear.,,,silver
imgs/roxis.png,This is… a Mana’s…,Help Roxis form a contract with the Mana of Light.,Complete Roxis II.,07/19/2020 15:12,bronze
imgs/roxis.png,Which one of us is more horrible?,Let Roxis convince you not to disappear.,,,silver
